Year,Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),Tariffs on Imports (US$ Thousand),Trade Deficit (US$ Thousand)
1993,Mach and Elec,2713709.89,6256021.38,30.95,18.58,1.05,21.05,34.5,3.8,4.33,802.0,86.16,12.72,0.75,0.37,28.37,0.0,13011.56,6233969.64,22051.93,3.8,4.33,802.0,86.16,12.72,0.75,0.37,28.37,0.0,13011.56,6233969.64,22051.93,5371188.241823999,3542311.4899999998
1993,Metals,359603.86,1090261.3,4.1,3.24,0.36,45.21,12.93,4.5,4.88,601.0,80.53,9.65,3.16,6.66,22.81,0.0,54945.36,1012538.83,77722.45,4.5,4.88,601.0,80.53,9.65,3.16,6.66,22.81,0.0,54945.36,1012538.83,77722.45,815397.519799,730657.4400000001
1993,Minerals,11368.5,115894.78,0.13,0.34,0.24,5.18,11.81,1.38,1.53,58.0,22.41,55.17,3.45,18.97,13.5,0.0,4408.95,80290.07,35604.71,1.38,1.53,58.0,22.41,55.17,3.45,18.97,13.5,0.0,4408.95,80290.07,35604.71,17993.004687,104526.28
1993,Miscellaneous,628098.15,7302571.5,7.16,21.69,1.6,6.27,11.49,5.85,6.34,762.0,72.7,5.12,12.99,9.19,47.69,0.0,341810.72,6960525.71,99668.98,5.85,6.34,762.0,72.7,5.12,12.99,9.19,47.69,0.0,341810.72,6960525.71,99668.98,5060302.19117,6674473.35
1993,Plastic or Rubber,205753.06,1232257.82,2.35,3.66,0.95,2.27,5.97,4.71,4.52,219.0,85.39,9.13,0.0,5.48,16.0,0.0,0.0,1231588.16,669.64,4.71,4.52,219.0,85.39,9.13,0.0,5.48,16.0,0.0,0.0,1231588.16,669.64,1051653.129824,1026504.76
1993,Raw materials,638651.63,905391.13,7.28,2.69,1.18,-1.67,-14.82,3.13,3.85,400.0,26.0,39.0,3.5,31.5,178.25,0.0,250219.89,625142.15,280248.98,3.13,3.85,400.0,26.0,39.0,3.5,31.5,178.25,0.0,250219.89,625142.15,280248.98,162536.959,266739.5
1993,Stone and Glass,42128.13,643594.72,0.48,1.91,0.87,9.9,28.8,6.26,8.76,274.0,85.4,9.49,0.0,5.11,38.0,0.0,0.0,638621.53,4973.2,6.26,8.76,274.0,85.4,9.49,0.0,5.11,38.0,0.0,0.0,638621.53,4973.2,545382.78662,601466.59
1993,Textiles and Clothing,127725.63,6685933.35,1.46,19.86,0.23,-2.23,-37.85,12.24,10.88,970.0,88.66,2.58,1.75,7.01,45.49,0.0,86689.1,6682811.19,3122.22,12.24,10.88,970.0,88.66,2.58,1.75,7.01,45.49,0.0,86689.1,6682811.19,3122.22,5924980.401054,6558207.72
1993,Transportation,3058363.22,401162.04,34.88,1.19,2.21,18.11,15.35,3.45,5.63,118.0,77.12,22.88,0.0,0.0,15.0,0.0,0.0,377313.49,23848.55,3.45,5.63,118.0,77.12,22.88,0.0,0.0,15.0,0.0,0.0,377313.49,23848.55,290984.163488,-2657201.18
1993,Vegetable,311813.12,199742.15,3.56,0.59,2.11,-15.78,-13.92,4.29,3.21,307.0,30.29,26.71,2.28,40.72,35.0,0.0,350.04,144284.14,55458.02,4.29,3.21,307.0,30.29,26.71,2.28,40.72,35.0,0.0,350.04,144284.14,55458.02,43703.66600600001,-112070.97
